번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,상세영업상태변경일자,소재지전체주소,도로명전체주소,사업장명,업태구분명,객실수
34,숙박업,03_11_00_P,6500000,SAMPLE-00034,20230114,1,영업/정상,01,영업/정상,,20230114,제주특별자치도 제주시 한림읍 974,제주특별자치도 제주시 표본로 106,[샘플]한림읍숙소0034,,7
35,농어촌민박업,03_11_00_P,6500000,SAMPLE-00035,20260822,1,영업/정상,01,영업/정상,,20260822,제주특별자치도 제주시 노형동 1200,제주특별자치도 제주시 표본로 46,[샘플]노형동숙소0035,,11
36,농어촌민박업,03_11_00_P,6500000,SAMPLE-00036,20160328,3,폐업,01,폐업,20260719,20260719,제주특별자치도 서귀포시 대정읍 1820,제주특별자치도 서귀포시 표본로 170,[샘플]대정읍숙소0036,,12
37,농어촌민박업,03_11_00_P,6500000,SAMPLE-00037,20241105,1,영업/정상,01,영업/정상,,20241105,제주특별자치도 제주시 일도이동 1074,제주특별자치도 제주시 표본로 102,[샘플]일도이동숙소0037,,11
38,숙박업,03_11_00_P,6500000,SAMPLE-00038,20190214,1,영업/정상,01,영업/정상,,20190214,제주특별자치도 서귀포시 남원읍 1533,제주특별자치도 서귀포시 표본로 260,[샘플]남원읍숙소0038,,12
39,숙박업,03_11_00_P,6500000,SAMPLE-00039,20141101,3,폐업,01,폐업,20170910,20170910,제주특별자치도 서귀포시 대륜동 546,제주특별자치도 서귀포시 표본로 68,[샘플]대륜동숙소0039,,5
40,농어촌민박업,03_11_00_P,6500000,SAMPLE-00040,20260201,1,영업/정상,01,영업/정상,,20260201,제주특별자치도 제주시 노형동 1500,제주특별자치도 제주시 표본로 95,[샘플]노형동숙소0040,,6
41,숙박업,03_11_00_P,6500000,SAMPLE-00041,20240708,1,영업/정상,01,영업/정상,,20240708,제주특별자치도 제주시 애월읍 1493,제주특별자치도 제주시 표본로 191,[샘플]애월읍숙소0041,,9
42,숙박업,03_11_00_P,6500000,SAMPLE-00042,20251203,1,영업/정상,01,영업/정상,,20251203,제주특별자치도 서귀포시 안덕면 185,제주특별자치도 서귀포시 표본로 293,[샘플]안덕면숙소0042,,5
43,농어촌민박업,03_11_00_P,6500000,SAMPLE-00043,20260717,1,영업/정상,01,영업/정상,,20260717,제주특별자치도 제주시 일도이동 1968,제주특별자치도 제주시 표본로 122,[샘플]일도이동숙소0043,,2
44,농어촌민박업,03_11_00_P,6500000,SAMPLE-00044,20250217,1,영업/정상,01,영업/정상,,20250217,제주특별자치도 제주시 한림읍 1962,제주특별자치도 제주시 표본로 132,[샘플]한림읍숙소0044,,5
45,농어촌민박업,03_11_00_P,6500000,SAMPLE-00045,20210315,3,폐업,01,폐업,20250104,20250104,제주특별자치도 제주시 이도이동 1358,제주특별자치도 제주시 표본로 117,[샘플]이도이동숙소0045,,8
46,농어촌민박업,03_11_00_P,6500000,SAMPLE-00046,20230515,1,영업/정상,01,영업/정상,,20230515,제주특별자치도 서귀포시 중문동 1146,제주특별자치도 서귀포시 표본로 141,[샘플]중문동숙소0046,,9
47,농어촌민박업,03_11_00_P,6500000,SAMPLE-00047,20181121,1,영업/정상,01,영업/정상,,20181121,제주특별자치도 제주시 한경면 333,제주특별자치도 제주시 표본로 189,[샘플]한경면숙소0047,,11
48,농어촌민박업,03_11_00_P,6500000,SAMPLE-00048,20200924,1,영업/정상,01,영업/정상,,20200924,제주특별자치도 제주시 애월읍 79,제주특별자치도 제주시 표본로 77,[샘플]애월읍숙소0048,,11
49,숙박업,03_11_00_P,6500000,SAMPLE-00049,20220621,1,영업/정상,01,영업/정상,,20220621,제주특별자치도 제주시 이도이동 256,제주특별자치도 제주시 표본로 212,[샘플]이도이동숙소0049,,2
50,농어촌민박업,03_11_00_P,6500000,SAMPLE-00050,20150225,3,폐업,01,폐업,20170912,20170912,제주특별자치도 제주시 노형동 856,제주특별자치도 제주시 표본로 289,[샘플]노형동숙소0050,,11
51,관광숙박업,03_11_00_P,6500000,SAMPLE-00051,20180703,3,폐업,01,폐업,20260408,20260408,제주특별자치도 제주시 조천읍 1280,제주특별자치도 제주시 표본로 286,[샘플]조천읍숙소0051,,10
52,관광숙박업,03_11_00_P,6500000,SAMPLE-00052,20131213,3,폐업,01,폐업,20160212,20160212,제주특별자치도 제주시 일도이동 1706,제주특별자치도 제주시 표본로 134,[샘플]일도이동숙소0052,,7
53,농어촌민박업,03_11_00_P,6500000,SAMPLE-00053,20190215,3,폐업,01,폐업,20200519,20200519,제주특별자치도 제주시 조천읍 1883,제주특별자치도 제주시 표본로 189,[샘플]조천읍숙소0053,,10
54,농어촌민박업,03_11_00_P,6500000,SAMPLE-00054,20230106,1,영업/정상,01,영업/정상,,20230106,제주특별자치도 서귀포시 중문동 1256,제주특별자치도 서귀포시 표본로 225,[샘플]중문동숙소0054,,5
55,숙박업,03_11_00_P,6500000,SAMPLE-00055,20231208,1,영업/정상,01,영업/정상,,20231208,제주특별자치도 제주시 삼양동 1152,제주특별자치도 제주시 표본로 226,[샘플]삼양동숙소0055,,7
56,숙박업,03_11_00_P,6500000,SAMPLE-00056,20210212,3,폐업,01,폐업,20240122,20240122,제주특별자치도 서귀포시 서홍동 856,제주특별자치도 서귀포시 표본로 61,[샘플]서홍동숙소0056,,12
57,관광숙박업,03_11_00_P,6500000,SAMPLE-00057,20240826,1,영업/정상,01,영업/정상,,20240826,제주특별자치도 제주시 애월읍 579,제주특별자치도 제주시 표본로 298,[샘플]애월읍숙소0057,,5
58,농어촌민박업,03_11_00_P,6500000,SAMPLE-00058,20120311,1,영업/정상,01,영업/정상,,20120311,제주특별자치도 제주시 애월읍 349,제주특별자치도 제주시 표본로 125,[샘플]애월읍숙소0058,,1
59,농어촌민박업,03_11_00_P,6500000,SAMPLE-00059,20160322,3,폐업,01,폐업,20170527,20170527,제주특별자치도 서귀포시 대정읍 202,제주특별자치도 서귀포시 표본로 175,[샘플]대정읍숙소0059,,4
60,숙박업,03_11_00_P,6500000,SAMPLE-00060,20161130,3,폐업,01,폐업,20250104,20250104,제주특별자치도 제주시 구좌읍 719,제주특별자치도 제주시 표본로 210,[샘플]구좌읍숙소0060,,4
61,숙박업,03_11_00_P,6500000,SAMPLE-00061,20131122,1,영업/정상,01,영업/정상,,20131122,제주특별자치도 서귀포시 중문동 1687,제주특별자치도 서귀포시 표본로 277,[샘플]중문동숙소0061,,5
62,숙박업,03_11_00_P,6500000,SAMPLE-00062,20210905,1,영업/정상,01,영업/정상,,20210905,제주특별자치도 제주시 일도이동 1800,제주특별자치도 제주시 표본로 72,[샘플]일도이동숙소0062,,3
63,숙박업,03_11_00_P,6500000,SAMPLE-00063,20240907,1,영업/정상,01,영업/정상,,20240907,제주특별자치도 제주시 삼양동 254,제주특별자치도 제주시 표본로 151,[샘플]삼양동숙소0063,,9
64,농어촌민박업,03_11_00_P,6500000,SAMPLE-00064,20260124,1,영업/정상,01,영업/정상,,20260124,제주특별자치도 서귀포시 대륜동 653,제주특별자치도 서귀포시 표본로 156,[샘플]대륜동숙소0064,,5
65,농어촌민박업,03_11_00_P,6500000,SAMPLE-00065,20200913,1,영업/정상,01,영업/정상,,20200913,제주특별자치도 제주시 삼양동 238,제주특별자치도 제주시 표본로 235,[샘플]삼양동숙소0065,,4
66,농어촌민박업,03_11_00_P,6500000,SAMPLE-00066,20250405,1,영업/정상,01,영업/정상,,20250405,제주특별자치도 서귀포시 표선면 1378,제주특별자치도 서귀포시 표본로 9,[샘플]표선면숙소0066,,10
67,농어촌민박업,03_11_00_P,6500000,SAMPLE-00067,20230821,3,폐업,01,폐업,20251029,20251029,제주특별자치도 제주시 한림읍 1897,제주특별자치도 제주시 표본로 211,[샘플]한림읍숙소0067,,10
68,농어촌민박업,03_11_00_P,6500000,SAMPLE-00068,20220613,1,영업/정상,01,영업/정상,,20220613,제주특별자치도 서귀포시 대륜동 532,제주특별자치도 서귀포시 표본로 234,[샘플]대륜동숙소0068,,10
69,농어촌민박업,03_11_00_P,6500000,SAMPLE-00069,20251201,1,영업/정상,01,영업/정상,,20251201,제주특별자치도 제주시 조천읍 1677,제주특별자치도 제주시 표본로 145,[샘플]조천읍숙소0069,,9
70,숙박업,03_11_00_P,6500000,SAMPLE-00070,20200706,1,영업/정상,01,영업/정상,,20200706,제주특별자치도 서귀포시 대륜동 1224,제주특별자치도 서귀포시 표본로 21,[샘플]대륜동숙소0070,,6
71,농어촌민박업,03_11_00_P,6500000,SAMPLE-00071,20221026,1,영업/정상,01,영업/정상,,20221026,제주특별자치도 제주시 한경면 309,제주특별자치도 제주시 표본로 188,[샘플]한경면숙소0071,,7
72,농어촌민박업,03_11_00_P,6500000,SAMPLE-00072,20200213,1,영업/정상,01,영업/정상,,20200213,제주특별자치도 서귀포시 안덕면 1719,제주특별자치도 서귀포시 표본로 231,[샘플]안덕면숙소0072,,6
73,관광숙박업,03_11_00_P,6500000,SAMPLE-00073,20171215,1,영업/정상,01,영업/정상,,20171215,제주특별자치도 제주시 구좌읍 1618,제주특별자치도 제주시 표본로 286,[샘플]구좌읍숙소0073,,10
74,농어촌민박업,03_11_00_P,6500000,SAMPLE-00074,20211106,1,영업/정상,01,영업/정상,,20211106,제주특별자치도 제주시 연동 1699,제주특별자치도 제주시 표본로 288,[샘플]연동숙소0074,,7
75,숙박업,03_11_00_P,6500000,SAMPLE-00075,20250527,1,영업/정상,01,영업/정상,,20250527,제주특별자치도 서귀포시 서홍동 284,제주특별자치도 서귀포시 표본로 227,[샘플]서홍동숙소0075,,8
76,관광숙박업,03_11_00_P,6500000,SAMPLE-00076,20191120,3,폐업,01,폐업,20260529,20260529,제주특별자치도 제주시 한림읍 887,제주특별자치도 제주시 표본로 116,[샘플]한림읍숙소0076,,11
77,농어촌민박업,03_11_00_P,6500000,SAMPLE-00077,20171001,1,영업/정상,01,영업/정상,,20171001,제주특별자치도 제주시 한림읍 1818,제주특별자치도 제주시 표본로 163,[샘플]한림읍숙소0077,,3
78,농어촌민박업,03_11_00_P,6500000,SAMPLE-00078,20260718,1,영업/정상,01,영업/정상,,20260718,제주특별자치도 제주시 노형동 605,제주특별자치도 제주시 표본로 179,[샘플]노형동숙소0078,,3
79,관광숙박업,03_11_00_P,6500000,SAMPLE-00079,20231214,1,영업/정상,01,영업/정상,,20231214,제주특별자치도 제주시 애월읍 612,제주특별자치도 제주시 표본로 98,[샘플]애월읍숙소0079,,2
80,숙박업,03_11_00_P,6500000,SAMPLE-00080,20190314,1,영업/정상,01,영업/정상,,20190314,제주특별자치도 서귀포시 중문동 240,제주특별자치도 서귀포시 표본로 17,[샘플]중문동숙소0080,,12
81,숙박업,03_11_00_P,6500000,SAMPLE-00081,20220315,1,영업/정상,01,영업/정상,,20220315,제주특별자치도 서귀포시 동홍동 1146,제주특별자치도 서귀포시 표본로 172,[샘플]동홍동숙소0081,,4
82,관광숙박업,03_11_00_P,6500000,SAMPLE-00082,20241214,1,영업/정상,01,영업/정상,,20241214,제주특별자치도 서귀포시 표선면 720,제주특별자치도 서귀포시 표본로 108,[샘플]표선면숙소0082,,5
83,관광숙박업,03_11_00_P,6500000,SAMPLE-00083,20180919,3,폐업,01,폐업,20250317,20250317,제주특별자치도 서귀포시 대륜동 830,제주특별자치도 서귀포시 표본로 132,[샘플]대륜동숙소0083,,11
84,관광숙박업,03_11_00_P,6500000,SAMPLE-00084,20200914,1,영업/정상,01,영업/정상,,20200914,제주특별자치도 서귀포시 대정읍 149,제주특별자치도 서귀포시 표본로 79,[샘플]대정읍숙소0084,,12
85,숙박업,03_11_00_P,6500000,SAMPLE-00085,20210707,1,영업/정상,01,영업/정상,,20210707,제주특별자치도 제주시 한림읍 848,제주특별자치도 제주시 표본로 248,[샘플]한림읍숙소0085,,7
86,관광숙박업,03_11_00_P,6500000,SAMPLE-00086,20231030,1,영업/정상,01,영업/정상,,20231030,제주특별자치도 제주시 이도이동 1936,제주특별자치도 제주시 표본로 265,[샘플]이도이동숙소0086,,6
87,농어촌민박업,03_11_00_P,6500000,SAMPLE-00087,20211117,1,영업/정상,01,영업/정상,,20211117,제주특별자치도 제주시 한경면 243,제주특별자치도 제주시 표본로 134,[샘플]한경면숙소0087,,4
88,숙박업,03_11_00_P,6500000,SAMPLE-00088,20240716,1,영업/정상,01,영업/정상,,20240716,제주특별자치도 서귀포시 남원읍 1518,제주특별자치도 서귀포시 표본로 176,[샘플]남원읍숙소0088,,11
89,농어촌민박업,03_11_00_P,6500000,SAMPLE-00089,20260121,1,영업/정상,01,영업/정상,,20260121,제주특별자치도 제주시 이도이동 1989,제주특별자치도 제주시 표본로 269,[샘플]이도이동숙소0089,,11
90,농어촌민박업,03_11_00_P,6500000,SAMPLE-00090,20131017,1,영업/정상,01,영업/정상,,20131017,제주특별자치도 제주시 연동 1830,제주특별자치도 제주시 표본로 218,[샘플]연동숙소0090,,6
91,관광숙박업,03_11_00_P,6500000,SAMPLE-00091,20170901,3,폐업,01,폐업,20221206,20221206,제주특별자치도 제주시 노형동 1817,제주특별자치도 제주시 표본로 84,[샘플]노형동숙소0091,,7
92,숙박업,03_11_00_P,6500000,SAMPLE-00092,20190414,1,영업/정상,01,영업/정상,,20190414,제주특별자치도 서귀포시 대정읍 1999,제주특별자치도 서귀포시 표본로 111,[샘플]대정읍숙소0092,,6
93,농어촌민박업,03_11_00_P,6500000,SAMPLE-00093,20220530,3,영업/정상,01,휴업,,20220530,제주특별자치도 제주시 삼양동 1839,제주특별자치도 제주시 표본로 244,[샘플]삼양동숙소0093,,1
94,숙박업,03_11_00_P,6500000,SAMPLE-00094,20260430,1,영업/정상,01,영업/정상,,20260430,제주특별자치도 서귀포시 남원읍 1024,제주특별자치도 서귀포시 표본로 209,[샘플]남원읍숙소0094,,10
95,농어촌민박업,03_11_00_P,6500000,SAMPLE-00095,20241105,1,영업/정상,01,영업/정상,,20241105,제주특별자치도 제주시 노형동 513,제주특별자치도 제주시 표본로 241,[샘플]노형동숙소0095,,6
96,관광숙박업,03_11_00_P,6500000,SAMPLE-00096,20140713,1,영업/정상,01,영업/정상,,20140713,제주특별자치도 서귀포시 성산읍 1146,제주특별자치도 서귀포시 표본로 183,[샘플]성산읍숙소0096,,12
97,숙박업,03_11_00_P,6500000,SAMPLE-00097,20241212,1,영업/정상,01,영업/정상,,20241212,제주특별자치도 제주시 이도이동 1455,제주특별자치도 제주시 표본로 191,[샘플]이도이동숙소0097,,9
98,숙박업,03_11_00_P,6500000,SAMPLE-00098,20240926,1,영업/정상,01,영업/정상,,20240926,제주특별자치도 제주시 애월읍 1559,제주특별자치도 제주시 표본로 262,[샘플]애월읍숙소0098,,11
99,관광숙박업,03_11_00_P,6500000,SAMPLE-00099,20220207,1,영업/정상,01,영업/정상,,20220207,제주특별자치도 제주시 연동 554,제주특별자치도 제주시 표본로 60,[샘플]연동숙소0099,,10
100,농어촌민박업,03_11_00_P,6500000,SAMPLE-00100,20141211,3,폐업,01,폐업,20190706,20190706,제주특별자치도 서귀포시 동홍동 1117,제주특별자치도 서귀포시 표본로 149,[샘플]동홍동숙소0100,,4
101,농어촌민박업,03_11_00_P,6500000,SAMPLE-00101,20210804,1,영업/정상,01,영업/정상,,20210804,제주특별자치도 서귀포시 중문동 525,제주특별자치도 서귀포시 표본로 247,[샘플]중문동숙소0101,,5
102,숙박업,03_11_00_P,6500000,SAMPLE-00102,20160118,3,폐업,01,폐업,20230525,20230525,제주특별자치도 제주시 한경면 1562,제주특별자치도 제주시 표본로 21,[샘플]한경면숙소0102,,4
103,농어촌민박업,03_11_00_P,6500000,SAMPLE-00103,20170208,3,폐업,01,폐업,20230109,20230109,제주특별자치도 제주시 한림읍 1196,제주특별자치도 제주시 표본로 143,[샘플]한림읍숙소0103,,5
104,관광숙박업,03_11_00_P,6500000,SAMPLE-00104,20240322,1,영업/정상,01,영업/정상,,20240322,제주특별자치도 제주시 연동 1639,제주특별자치도 제주시 표본로 201,[샘플]연동숙소0104,,11
105,숙박업,03_11_00_P,6500000,SAMPLE-00105,20211005,1,영업/정상,01,영업/정상,,20211005,제주특별자치도 제주시 한림읍 1118,제주특별자치도 제주시 표본로 125,[샘플]한림읍숙소0105,,8
106,농어촌민박업,03_11_00_P,6500000,SAMPLE-00106,20250516,1,영업/정상,01,영업/정상,,20250516,제주특별자치도 서귀포시 성산읍 286,제주특별자치도 서귀포시 표본로 297,[샘플]성산읍숙소0106,,12
107,숙박업,03_11_00_P,6500000,SAMPLE-00107,20200324,1,영업/정상,01,영업/정상,,20200324,제주특별자치도 제주시 한림읍 867,제주특별자치도 제주시 표본로 278,[샘플]한림읍숙소0107,,12
108,숙박업,03_11_00_P,6500000,SAMPLE-00108,20200929,3,폐업,01,폐업,20260201,20260201,제주특별자치도 제주시 한림읍 1427,제주특별자치도 제주시 표본로 116,[샘플]한림읍숙소0108,,10
109,농어촌민박업,03_11_00_P,6500000,SAMPLE-00109,20210221,1,영업/정상,01,영업/정상,,20210221,제주특별자치도 제주시 삼양동 1616,제주특별자치도 제주시 표본로 8,[샘플]삼양동숙소0109,,4
110,농어촌민박업,03_11_00_P,6500000,SAMPLE-00110,20160923,3,폐업,01,폐업,20210806,20210806,제주특별자치도 제주시 이도이동 1673,제주특별자치도 제주시 표본로 170,[샘플]이도이동숙소0110,,5
111,농어촌민박업,03_11_00_P,6500000,SAMPLE-00111,20260521,1,영업/정상,01,영업/정상,,20260521,제주특별자치도 서귀포시 중문동 1981,제주특별자치도 서귀포시 표본로 6,[샘플]중문동숙소0111,,9
112,관광숙박업,03_11_00_P,6500000,SAMPLE-00112,20250202,1,영업/정상,01,영업/정상,,20250202,제주특별자치도 제주시 구좌읍 1880,제주특별자치도 제주시 표본로 145,[샘플]구좌읍숙소0112,,6
113,숙박업,03_11_00_P,6500000,SAMPLE-00113,20210131,3,폐업,01,폐업,20220117,20220117,제주특별자치도 제주시 조천읍 1055,제주특별자치도 제주시 표본로 125,[샘플]조천읍숙소0113,,3
114,농어촌민박업,03_11_00_P,6500000,SAMPLE-00114,20211102,3,폐업,01,폐업,20250328,20250328,제주특별자치도 제주시 구좌읍 1083,제주특별자치도 제주시 표본로 110,[샘플]구좌읍숙소0114,,11
115,농어촌민박업,03_11_00_P,6500000,SAMPLE-00115,20241202,1,영업/정상,01,영업/정상,,20241202,제주특별자치도 제주시 일도이동 1899,제주특별자치도 제주시 표본로 266,[샘플]일도이동숙소0115,,1
116,관광숙박업,03_11_00_P,6500000,SAMPLE-00116,20220302,1,영업/정상,01,영업/정상,,20220302,제주특별자치도 제주시 노형동 960,제주특별자치도 제주시 표본로 34,[샘플]노형동숙소0116,,3
117,숙박업,03_11_00_P,6500000,SAMPLE-00117,20220327,1,영업/정상,01,영업/정상,,20220327,제주특별자치도 서귀포시 서홍동 108,제주특별자치도 서귀포시 표본로 30,[샘플]서홍동숙소0117,,11
118,농어촌민박업,03_11_00_P,6500000,SAMPLE-00118,20200819,1,영업/정상,01,영업/정상,,20200819,제주특별자치도 서귀포시 대륜동 773,제주특별자치도 서귀포시 표본로 170,[샘플]대륜동숙소0118,,10
119,숙박업,03_11_00_P,6500000,SAMPLE-00119,20211205,3,폐업,01,폐업,20260619,20260619,제주특별자치도 제주시 조천읍 1854,제주특별자치도 제주시 표본로 96,[샘플]조천읍숙소0119,,10
120,농어촌민박업,03_11_00_P,6500000,SAMPLE-00120,20260429,1,영업/정상,01,영업/정상,,20260429,제주특별자치도 서귀포시 서홍동 223,제주특별자치도 서귀포시 표본로 50,[샘플]서홍동숙소0120,,3
121,숙박업,03_11_00_P,6500000,SAMPLE-00121,20140220,3,영업/정상,01,휴업,,20140220,제주특별자치도 서귀포시 남원읍 59,제주특별자치도 서귀포시 표본로 25,[샘플]남원읍숙소0121,,5
122,농어촌민박업,03_11_00_P,6500000,SAMPLE-00122,20241007,1,영업/정상,01,영업/정상,,20241007,제주특별자치도 제주시 한경면 176,제주특별자치도 제주시 표본로 2,[샘플]한경면숙소0122,,12
